"MPIO_CDPMP","REGION","Card_6t9","elsnl_6t9","elsnmr_6t9","clrgst_6t9","clrgwk_6t9","FID_6t9"
"13001","Región Caribe","North",0.25,0.222,0.333,0.1,489
"13006","Región Caribe","North",0.25,0.222,0.333,0.1,490
"13030","Región Caribe","North",0.25,0.222,0.333,0.1,491
"13042","Región Caribe","North",0.25,0.222,0.333,0.1,492
"13052","Región Caribe","North",0.25,0.222,0.333,0.1,493
"13062","Región Caribe","North",0.25,0.222,0.333,0.1,494
"13074","Región Caribe","North",0.25,0.222,0.333,0.1,495
"13140","Región Caribe","North",0.25,0.222,0.333,0.1,496
"13160","Región Caribe","North",0.25,0.222,0.333,0.1,497
"13188","Región Caribe","North",0.25,0.222,0.333,0.1,498
"13212","Región Caribe","North",0.25,0.222,0.333,0.1,499
"13222","Región Caribe","North",0.25,0.222,0.333,0.1,500
"13244","Región Caribe","North",0.25,0.222,0.333,0.1,501
"13248","Región Caribe","North",0.25,0.222,0.333,0.1,502
"13268","Región Caribe","North",0.25,0.222,0.333,0.1,503
"13300","Región Caribe","North",0.25,0.222,0.333,0.1,1108
"13430","Región Caribe","North",0.25,0.222,0.333,0.1,1110
"13433","Región Caribe","North",0.25,0.222,0.333,0.1,504
"13440","Región Caribe","North",0.25,0.222,0.333,0.1,505
"13442","Región Caribe","North",0.25,0.222,0.333,0.1,506
"13458","Región Caribe","North",0.25,0.222,0.333,0.1,507
"13468","Región Caribe","North",0.25,0.222,0.333,0.1,508
"13473","Región Caribe","North",0.25,0.222,0.333,0.1,509
"13490","Región Caribe","North",0.25,0.222,0.333,0.1,510
"13549","Región Caribe","North",0.25,0.222,0.333,0.1,511
"13580","Región Caribe","North",0.25,0.222,0.333,0.1,512
"13600","Región Caribe","North",0.25,0.222,0.333,0.1,513
"13620","Región Caribe","North",0.25,0.222,0.333,0.1,514
"13647","Región Caribe","North",0.25,0.222,0.333,0.1,515
"13650","Región Caribe","North",0.25,0.222,0.333,0.1,1109
"13654","Región Caribe","North",0.25,0.222,0.333,0.1,516
"13655","Región Caribe","North",0.25,0.222,0.333,0.1,517
"13657","Región Caribe","North",0.25,0.222,0.333,0.1,518
"13667","Región Caribe","North",0.25,0.222,0.333,0.1,519
"13670","Región Caribe","North",0.25,0.222,0.333,0.1,520
"13673","Región Caribe","North",0.25,0.222,0.333,0.1,521
"13683","Región Caribe","North",0.25,0.222,0.333,0.1,522
"13688","Región Caribe","North",0.25,0.222,0.333,0.1,523
"13744","Región Caribe","North",0.25,0.222,0.333,0.1,524
"13760","Región Caribe","North",0.25,0.222,0.333,0.1,525
"13780","Región Caribe","North",0.25,0.222,0.333,0.1,526
"13810","Región Caribe","North",0.25,0.222,0.333,0.1,527
"13836","Región Caribe","North",0.25,0.222,0.333,0.1,528
"13838","Región Caribe","North",0.25,0.222,0.333,0.1,529
"13873","Región Caribe","North",0.25,0.222,0.333,0.1,530
"13894","Región Caribe","North",0.25,0.222,0.333,0.1,531
"15001","Región Centro Oriente","East",0.125,0,0.111,0.3,637
"15022","Región Centro Oriente","East",0.125,0,0.111,0.3,638
"15047","Región Centro Oriente","East",0.125,0,0.111,0.3,639
"15051","Región Centro Oriente","East",0.125,0,0.111,0.3,640
"15087","Región Centro Oriente","East",0.125,0,0.111,0.3,641
"15090","Región Centro Oriente","East",0.125,0,0.111,0.3,642
"15092","Región Centro Oriente","East",0.125,0,0.111,0.3,643
"15097","Región Centro Oriente","East",0.125,0,0.111,0.3,644
"15104","Región Centro Oriente","East",0.125,0,0.111,0.3,645
"15106","Región Centro Oriente","East",0.125,0,0.111,0.3,646
"15109","Región Centro Oriente","East",0.125,0,0.111,0.3,647
"15114","Región Centro Oriente","East",0.125,0,0.111,0.3,648
"15131","Región Centro Oriente","East",0.125,0,0.111,0.3,649
"15135","Región Centro Oriente","East",0.125,0,0.111,0.3,650
"15162","Región Centro Oriente","East",0.125,0,0.111,0.3,651
"15172","Región Centro Oriente","East",0.125,0,0.111,0.3,652
"15176","Región Centro Oriente","East",0.125,0,0.111,0.3,653
"15180","Región Centro Oriente","East",0.125,0,0.111,0.3,757
"15183","Región Centro Oriente","East",0.125,0,0.111,0.3,654
"15185","Región Centro Oriente","East",0.125,0,0.111,0.3,655
"15187","Región Centro Oriente","East",0.125,0,0.111,0.3,656
"15189","Región Centro Oriente","East",0.125,0,0.111,0.3,657
"15204","Región Centro Oriente","East",0.125,0,0.111,0.3,658
"15212","Región Centro Oriente","East",0.125,0,0.111,0.3,659
"15215","Región Centro Oriente","East",0.125,0,0.111,0.3,660
"15218","Región Centro Oriente","East",0.125,0,0.111,0.3,677
"15223","Región Centro Oriente","East",0.125,0,0.111,0.3,758
"15224","Región Centro Oriente","East",0.125,0,0.111,0.3,678
"15226","Región Centro Oriente","East",0.125,0,0.111,0.3,679
"15232","Región Centro Oriente","East",0.125,0,0.111,0.3,680
"15236","Región Centro Oriente","East",0.125,0,0.111,0.3,681
"15238","Región Centro Oriente","East",0.125,0,0.111,0.3,682
"15244","Región Centro Oriente","East",0.125,0,0.111,0.3,683
"15248","Región Centro Oriente","East",0.125,0,0.111,0.3,684
"15272","Región Centro Oriente","East",0.125,0,0.111,0.3,685
"15276","Región Centro Oriente","East",0.125,0,0.111,0.3,686
"15293","Región Centro Oriente","East",0.125,0,0.111,0.3,687
"15296","Región Centro Oriente","East",0.125,0,0.111,0.3,688
"15299","Región Centro Oriente","East",0.125,0,0.111,0.3,689
"15317","Región Centro Oriente","East",0.125,0,0.111,0.3,690
"15322","Región Centro Oriente","East",0.125,0,0.111,0.3,691
"15325","Región Centro Oriente","East",0.125,0,0.111,0.3,692
"15332","Región Centro Oriente","East",0.125,0,0.111,0.3,759
"15362","Región Centro Oriente","East",0.125,0,0.111,0.3,693
"15367","Región Centro Oriente","East",0.125,0,0.111,0.3,694
"15368","Región Centro Oriente","East",0.125,0,0.111,0.3,695
"15377","Región Centro Oriente","East",0.125,0,0.111,0.3,661
"15380","Región Centro Oriente","East",0.125,0,0.111,0.3,662
"15401","Región Centro Oriente","East",0.125,0,0.111,0.3,663
"15403","Región Centro Oriente","East",0.125,0,0.111,0.3,664
"15407","Región Centro Oriente","East",0.125,0,0.111,0.3,696
"15425","Región Centro Oriente","East",0.125,0,0.111,0.3,697
"15442","Región Centro Oriente","East",0.125,0,0.111,0.3,698
"15455","Región Centro Oriente","East",0.125,0,0.111,0.3,699
"15464","Región Centro Oriente","East",0.125,0,0.111,0.3,700
"15466","Región Centro Oriente","East",0.125,0,0.111,0.3,701
"15469","Región Centro Oriente","East",0.125,0,0.111,0.3,702
"15476","Región Centro Oriente","East",0.125,0,0.111,0.3,703
"15480","Región Centro Oriente","East",0.125,0,0.111,0.3,704
"15491","Región Centro Oriente","East",0.125,0,0.111,0.3,705
"15494","Región Centro Oriente","East",0.125,0,0.111,0.3,706
"15500","Región Centro Oriente","East",0.125,0,0.111,0.3,707
"15507","Región Centro Oriente","East",0.125,0,0.111,0.3,708
"15511","Región Centro Oriente","East",0.125,0,0.111,0.3,709
"15514","Región Centro Oriente","East",0.125,0,0.111,0.3,710
"15516","Región Centro Oriente","East",0.125,0,0.111,0.3,711
"15518","Región Centro Oriente","East",0.125,0,0.111,0.3,712
"15522","Región Centro Oriente","East",0.125,0,0.111,0.3,713
"15531","Región Centro Oriente","East",0.125,0,0.111,0.3,714
"15533","Región Centro Oriente","East",0.125,0,0.111,0.3,715
"15537","Región Centro Oriente","East",0.125,0,0.111,0.3,716
"15542","Región Centro Oriente","East",0.125,0,0.111,0.3,665
"15550","Región Centro Oriente","East",0.125,0,0.111,0.3,666
"15572","Región Centro Oriente","East",0.125,0,0.111,0.3,667
"15580","Región Centro Oriente","East",0.125,0,0.111,0.3,668
"15599","Región Centro Oriente","East",0.125,0,0.111,0.3,717
"15600","Región Centro Oriente","East",0.125,0,0.111,0.3,718
"15621","Región Centro Oriente","East",0.125,0,0.111,0.3,719
"15632","Región Centro Oriente","East",0.125,0,0.111,0.3,720
"15638","Región Centro Oriente","East",0.125,0,0.111,0.3,721
"15646","Región Centro Oriente","East",0.125,0,0.111,0.3,722
"15660","Región Centro Oriente","East",0.125,0,0.111,0.3,723
"15664","Región Centro Oriente","East",0.125,0,0.111,0.3,724
"15667","Región Centro Oriente","East",0.125,0,0.111,0.3,725
"15673","Región Centro Oriente","East",0.125,0,0.111,0.3,726
"15676","Región Centro Oriente","East",0.125,0,0.111,0.3,727
"15681","Región Centro Oriente","East",0.125,0,0.111,0.3,728
"15686","Región Centro Oriente","East",0.125,0,0.111,0.3,729
"15690","Región Centro Oriente","East",0.125,0,0.111,0.3,730
"15693","Región Centro Oriente","East",0.125,0,0.111,0.3,731
"15696","Región Centro Oriente","East",0.125,0,0.111,0.3,732
"15720","Región Centro Oriente","East",0.125,0,0.111,0.3,733
"15723","Región Centro Oriente","East",0.125,0,0.111,0.3,734
"15740","Región Centro Oriente","East",0.125,0,0.111,0.3,735
"15753","Región Centro Oriente","East",0.125,0,0.111,0.3,736
"15755","Región Centro Oriente","East",0.125,0,0.111,0.3,669
"15757","Región Centro Oriente","East",0.125,0,0.111,0.3,670
"15759","Región Centro Oriente","East",0.125,0,0.111,0.3,671
"15761","Región Centro Oriente","East",0.125,0,0.111,0.3,672
