"FID_15t16","Petro_15t16","Duque_15t16","vtotal_15t16","MOV18_15t16","elsnl_15","elsnmr_15","clrgst_15","clrgwk_15","elsnl_16","elsnmr_16","clrgst_16","clrgwk_16"
307,3016,3620,7117,0.08487,NA,NA,NA,NA,NA,NA,NA,NA
308,893,5184,6428,0.66755,0,0.222,0.333,0,NA,NA,NA,NA
309,2001,11635,14701,0.65533,0,0.222,0.333,0,NA,NA,NA,NA
310,357,2146,2627,0.681,0,0.222,0.333,0,NA,NA,NA,NA
311,652,4221,5107,0.69884,0,0.222,0.333,0,NA,NA,NA,NA
312,345,3572,4111,0.78497,0,0.222,0.333,0,NA,NA,NA,NA
313,522,2049,2775,0.55027,0,0.222,0.333,0,NA,NA,NA,NA
314,757,2054,3043,0.42622,0,0.222,0.333,0,NA,NA,NA,NA
315,254,2380,2784,0.76365,0,0.222,0.333,0,NA,NA,NA,NA
316,17102,17842,36548,0.02025,NA,NA,NA,NA,NA,NA,NA,NA
317,276,1288,1790,0.56536,0,0.222,0.333,0,NA,NA,NA,NA
318,448,2941,3650,0.68301,0,0.222,0.333,0,NA,NA,NA,NA
319,527,1887,2510,0.54183,0,0.222,0.333,0,NA,NA,NA,NA
320,2351,2698,5480,0.06332,NA,NA,NA,NA,NA,NA,NA,NA
321,1190,6061,7716,0.63129,0,0.222,0.333,0,NA,NA,NA,NA
322,1055,4611,6069,0.58593,0,0.222,0.333,0,NA,NA,NA,NA
323,1063,13493,15159,0.81997,0,0.222,0.333,0,NA,NA,NA,NA
324,3969,2715,7602,-0.16496,NA,NA,NA,NA,0,0,0,0.1
325,1790,15702,18180,0.76524,0,0.222,0.333,0,NA,NA,NA,NA
326,532,3890,4696,0.71508,0,0.222,0.333,0,NA,NA,NA,NA
327,1694,12619,15458,0.70675,0,0.222,0.333,0,NA,NA,NA,NA
328,1743,8160,10662,0.60186,0,0.222,0.333,0,NA,NA,NA,NA
329,533,1752,2439,0.49979,0,0.222,0.333,0,NA,NA,NA,NA
330,1375,6000,7943,0.58227,0,0.222,0.333,0,NA,NA,NA,NA
331,25879,109479,145836,0.57325,0,0.222,0.333,0,NA,NA,NA,NA
332,540,3704,4597,0.68827,0,0.222,0.333,0,NA,NA,NA,NA
333,3811,7823,12312,0.32586,0,0.222,0.333,0,NA,NA,NA,NA
334,478,4599,5340,0.77172,0,0.222,0.333,0,NA,NA,NA,NA
335,898,7705,9098,0.74819,0,0.222,0.333,0,NA,NA,NA,NA
336,9435,23846,36573,0.39403,0,0.222,0.333,0,NA,NA,NA,NA
337,501,6110,6893,0.81372,0,0.222,0.333,0,NA,NA,NA,NA
338,168,2074,2329,0.81838,0,0.222,0.333,0,NA,NA,NA,NA
339,628,6949,7814,0.80893,0,0.222,0.333,0,NA,NA,NA,NA
340,764,3881,5039,0.61858,0,0.222,0.333,0,NA,NA,NA,NA
341,9241,9157,19553,-0.0043,NA,NA,NA,NA,NA,NA,NA,NA
342,12072,16146,29938,0.13608,0,0.222,0.333,0,NA,NA,NA,NA
343,239,1515,1902,0.67087,0,0.222,0.333,0,NA,NA,NA,NA
344,5351,17321,24456,0.48945,0,0.222,0.333,0,NA,NA,NA,NA
345,8472,8810,18313,0.01846,NA,NA,NA,NA,NA,NA,NA,NA
346,352,1947,2432,0.65584,0,0.222,0.333,0,NA,NA,NA,NA
