MPIO_CDPMP,elsnlfc,elsnmrfc,clrgstch,clrgwkch
05591,0.25,0.222,0.333,0.1
05585,0.25,0.222,0.333,0.1
05579,0.25,0.222,0.333,0.1
05576,0.25,0.222,0.333,0.1
05543,0.25,0.222,0.333,0.1
05541,0.25,0.222,0.333,0.1
05501,0.25,0.222,0.333,0.1
05495,0.25,0.222,0.333,0.1
05490,0.25,0.222,0.333,0.1
05483,0.25,0.222,0.333,0.1
05480,0.25,0.222,0.333,0.1
05467,0.25,0.222,0.333,0.1
05440,0.25,0.222,0.333,0.1
05425,0.25,0.222,0.333,0.1
05411,0.25,0.222,0.333,0.1
05400,0.25,0.222,0.333,0.1
05390,0.25,0.222,0.333,0.1
05376,0.25,0.222,0.333,0.1
05368,0.25,0.222,0.333,0.1
05364,0.25,0.222,0.333,0.1
05360,0.25,0.222,0.333,0.1
05353,0.25,0.222,0.333,0.1
05347,0.25,0.222,0.333,0.1
05321,0.25,0.222,0.333,0.1
05318,0.25,0.222,0.333,0.1
05315,0.25,0.222,0.333,0.1
05313,0.25,0.222,0.333,0.1
05310,0.25,0.222,0.333,0.1
05308,0.25,0.222,0.333,0.1
05234,0.25,0.222,0.333,0.1
05284,0.25,0.222,0.333,0.1
05361,0.25,0.222,0.333,0.1
05847,0.25,0.222,0.333,0.1
05475,0.25,0.222,0.333,0.1
05873,0.25,0.222,0.333,0.1
05045,0.25,0.222,0.333,0.1
27615,0.125,0,0.111,0.3
27001,0.125,0,0.111,0.3
27006,0.125,0,0.111,0.3
27025,0.125,0,0.111,0.3
27050,0.125,0,0.111,0.3
27073,0.125,0,0.111,0.3
27075,0.125,0,0.111,0.3
27077,0.125,0,0.111,0.3
27099,0.125,0,0.111,0.3
27135,0.125,0,0.111,0.3
27150,0.125,0,0.111,0.3
27160,0.125,0,0.111,0.3
27205,0.125,0,0.111,0.3
27245,0.125,0,0.111,0.3
27250,0.125,0,0.111,0.3
27361,0.125,0,0.111,0.3
27372,0.125,0,0.111,0.3
27413,0.125,0,0.111,0.3
27425,0.125,0,0.111,0.3
27430,0.125,0,0.111,0.3
27450,0.125,0,0.111,0.3
27491,0.125,0,0.111,0.3
27495,0.125,0,0.111,0.3
27580,0.125,0,0.111,0.3
27600,0.125,0,0.111,0.3
27660,0.125,0,0.111,0.3
27745,0.125,0,0.111,0.3
27787,0.125,0,0.111,0.3
27800,0.125,0,0.111,0.3
27810,0.125,0,0.111,0.3
52835,0.125,0,0.111,0.3
23001,0.25,0.222,0.333,0.1
23068,0.25,0.222,0.333,0.1
23079,0.25,0.222,0.333,0.1
23090,0.25,0.222,0.333,0.1
23162,0.25,0.222,0.333,0.1
23168,0.25,0.222,0.333,0.1
23182,0.25,0.222,0.333,0.1
23189,0.25,0.222,0.333,0.1
23300,0.25,0.222,0.333,0.1
23350,0.25,0.222,0.333,0.1
23417,0.25,0.222,0.333,0.1
23419,0.25,0.222,0.333,0.1
23464,0.25,0.222,0.333,0.1
23500,0.25,0.222,0.333,0.1
23555,0.25,0.222,0.333,0.1
23570,0.25,0.222,0.333,0.1
23574,0.25,0.222,0.333,0.1
23586,0.25,0.222,0.333,0.1
23660,0.25,0.222,0.333,0.1
23670,0.25,0.222,0.333,0.1
23672,0.25,0.222,0.333,0.1
23675,0.25,0.222,0.333,0.1
23678,0.25,0.222,0.333,0.1
23682,0.25,0.222,0.333,0.1
23686,0.25,0.222,0.333,0.1
23815,0.25,0.222,0.333,0.1
23855,0.25,0.222,0.333,0.1
23466,0.25,0.222,0.333,0.1
23580,0.25,0.222,0.333,0.1
23807,0.25,0.222,0.333,0.1
08001,0.25,0.222,0.333,0.1
08078,0.25,0.222,0.333,0.1
08137,0.25,0.222,0.333,0.1
08141,0.25,0.222,0.333,0.1
08296,0.25,0.222,0.333,0.1
08372,0.25,0.222,0.333,0.1
08421,0.25,0.222,0.333,0.1
08433,0.25,0.222,0.333,0.1
08436,0.25,0.222,0.333,0.1
08520,0.25,0.222,0.333,0.1
08549,0.25,0.222,0.333,0.1
08558,0.25,0.222,0.333,0.1
08560,0.25,0.222,0.333,0.1
08573,0.25,0.222,0.333,0.1
08606,0.25,0.222,0.333,0.1
08634,0.25,0.222,0.333,0.1
08638,0.25,0.222,0.333,0.1
08675,0.25,0.222,0.333,0.1
08685,0.25,0.222,0.333,0.1
08758,0.25,0.222,0.333,0.1
08770,0.25,0.222,0.333,0.1
08832,0.25,0.222,0.333,0.1
08849,0.25,0.222,0.333,0.1
13001,0.25,0.222,0.333,0.1
13006,0.25,0.222,0.333,0.1
13030,0.25,0.222,0.333,0.1
13042,0.25,0.222,0.333,0.1
13052,0.25,0.222,0.333,0.1
13062,0.25,0.222,0.333,0.1
13074,0.25,0.222,0.333,0.1
13140,0.25,0.222,0.333,0.1
13160,0.25,0.222,0.333,0.1
13188,0.25,0.222,0.333,0.1
13212,0.25,0.222,0.333,0.1
13222,0.25,0.222,0.333,0.1
13244,0.25,0.222,0.333,0.1
13248,0.25,0.222,0.333,0.1
13268,0.25,0.222,0.333,0.1
13433,0.25,0.222,0.333,0.1
13440,0.25,0.222,0.333,0.1
13442,0.25,0.222,0.333,0.1
13458,0.25,0.222,0.333,0.1
13468,0.25,0.222,0.333,0.1
13473,0.25,0.222,0.333,0.1
13490,0.25,0.222,0.333,0.1
13549,0.25,0.222,0.333,0.1
13580,0.25,0.222,0.333,0.1
13600,0.25,0.222,0.333,0.1
13620,0.25,0.222,0.333,0.1
13647,0.25,0.222,0.333,0.1
13654,0.25,0.222,0.333,0.1
13655,0.25,0.222,0.333,0.1
13657,0.25,0.222,0.333,0.1
13667,0.25,0.222,0.333,0.1
13670,0.25,0.222,0.333,0.1
13673,0.25,0.222,0.333,0.1
13683,0.25,0.222,0.333,0.1
13688,0.25,0.222,0.333,0.1
13744,0.25,0.222,0.333,0.1
13760,0.25,0.222,0.333,0.1
13780,0.25,0.222,0.333,0.1
13810,0.25,0.222,0.333,0.1
13836,0.25,0.222,0.333,0.1
13838,0.25,0.222,0.333,0.1
13873,0.25,0.222,0.333,0.1
13894,0.25,0.222,0.333,0.1
20032,0.25,0.222,0.333,0.1
20060,0.25,0.222,0.333,0.1
20175,0.25,0.222,0.333,0.1
20178,0.25,0.222,0.333,0.1
20228,0.25,0.222,0.333,0.1
