"MPIO_CDPMP","depto","provincia","indrur0t1","elsnl_0t1","elsnmr_0t1","clrgst_0t1","clrgwk_0t1","FID_0t1"
"13052","Bolívar","Dique bolivarense",0.206739276647568,0.125,1,0.889,0,493
"13062","Bolívar","Dique bolivarense",0.428277194499969,0.125,1,0.889,0,494
"13074","Bolívar","Loba",0.614316523075104,0.875,0,0,1,495
"13140","Bolívar","Dique bolivarense",0.434101641178131,0.125,1,0.889,0,496
"13160","Bolívar","Magdalena medio bolivarense",0.451056599617004,0.125,1,0.889,0,497
"13188","Bolívar","Depresión momposina",0.348460048437119,0.125,1,0.889,0,498
"13212","Bolívar","Montes de maría",0.7364661693573,0.875,0,0,1,499
"13222","Bolívar","Dique bolivarense",0.16139480471611,0.125,1,0.889,0,500
"13244","Bolívar","Montes de maría",0.275013893842697,0.125,1,0.889,0,501
"13248","Bolívar","Montes de maría",0.450907826423645,0.125,1,0.889,0,502
"13268","Bolívar","Loba",0.622794389724731,0.875,0,0,1,503
"13300","Bolívar","Depresión momposina",0.742956876754761,0.875,0,0,1,1108
"13430","Bolívar","Mojana",0.307300955057144,0.125,1,0.889,0,1110
"13433","Bolívar","Dique bolivarense",0.624368071556091,0.875,0,0,1,504
"13440","Bolívar","Depresión momposina",0.825728476047516,0.875,0,0,1,505
"13442","Bolívar","Montes de maría",0.556492865085602,0.875,0,0,1,506
"13458","Bolívar","Mojana",0.751296579837799,0.875,0,0,1,507
"13468","Bolívar","Depresión momposina",0.480446428060532,0.125,1,0.889,0,508
"13473","Bolívar","Magdalena medio bolivarense",0.672357261180878,0.875,0,0,1,509
"13490","Bolívar","Magdalena medio bolivarense",0.74880588054657,0.875,0,0,1,510
"13549","Bolívar","Bolivarense",0.846477806568146,0.875,0,0,1,511
"13580","Bolívar","Loba",0.371857792139053,0.125,1,0.889,0,512
"13600","Bolívar","Loba",0.521513521671295,0.875,0,0,1,513
"13620","Bolívar","Dique bolivarense",0.227588772773743,0.125,1,0.889,0,514
"13647","Bolívar","Dique bolivarense",0.313571870326996,0.125,1,0.889,0,515
"13650","Bolívar","Depresión momposina",0.828733265399933,0.875,0,0,1,1109
"13654","Bolívar","Montes de maría",0.133902058005333,0.125,1,0.889,0,516
"13655","Bolívar","Bolivarense",0.741721212863922,0.875,0,0,1,517
"13657","Bolívar","Montes de maría",0.257498502731323,0.125,1,0.889,0,518
"13667","Bolívar","Loba",0.522742629051208,0.875,0,0,1,519
"13670","Bolívar","Magdalena medio bolivarense",0.233946308493614,0.125,1,0.889,0,520
"13673","Bolívar","Dique bolivarense",0.610931813716888,0.875,0,0,1,521
"13683","Bolívar","Dique bolivarense",0.0766588747501373,0.125,1,0.889,0,522
"13688","Bolívar","Magdalena medio bolivarense",0.41144397854805,0.125,1,0.889,0,523
"13744","Bolívar","Magdalena medio bolivarense",0.665212571620941,0.875,0,0,1,524
"13760","Bolívar","Dique bolivarense",0.0183098595589399,0.125,1,0.889,0,525
"13780","Bolívar","Depresión momposina",0.521055817604065,0.875,0,0,1,526
"13810","Bolívar","Bolivarense",0.658053755760193,0.875,0,0,1,527
"13836","Bolívar","Dique bolivarense",0.0748530924320221,0.125,1,0.889,0,528
"13838","Bolívar","Dique bolivarense",0.242333725094795,0.125,1,0.889,0,529
"13873","Bolívar","Dique bolivarense",0.126508817076683,0.125,1,0.889,0,530
"13894","Bolívar","Montes de maría",0.115572392940521,0.125,1,0.889,0,531
"15001","Boyacá","Centro",0.050154160708189,0.125,1,0.889,0,637
"15022","Boyacá","Oriente",0.831937193870544,0.875,0,0,1,638
"15047","Boyacá","Sugamuxi",0.624309003353119,0.875,0,0,1,639
