"MPIO_CDPMP","depto","provincia","indrur0t1","el_0t1x","em_0t1x","cs_0t1x","cw_0t1x","elsnl_0t1","elsnmr_0t1","clrgst_0t1","clrgwk_0t1","FID_0t1"
"63302","Quindio","Cordilleranos",0.432011693716049,0.449008770287037,0.567988306283951,0.504941604286432,0.432011693716049,0.125,1,0.889,0,262
"63401","Quindio","Valle",0.110579654574394,0.207934740930796,0.889420345425606,0.790694687083364,0.110579654574394,0.125,1,0.889,0,263
"63470","Quindio","Valle",0.180158361792564,0.260118771344423,0.819841638207436,0.72883921636641,0.180158361792564,0.125,1,0.889,0,264
"63548","Quindio","Cordilleranos",0.429584205150604,0.447188153862953,0.570415794849396,0.507099641621113,0.429584205150604,0.125,1,0.889,0,265
"63594","Quindio","Valle",0.189847484230995,0.267385613173246,0.810152515769005,0.720225586518645,0.189847484230995,0.125,1,0.889,0,266
"63690","Quindio","Fria",0.581101536750793,0.560826152563095,0.418898463249207,0.372400733828545,0.581101536750793,0.875,0,0,1,267
"66001","Risaralda","Uno - vertiente oriental",0.174270063638687,0.255702547729015,0.825729936361313,0.734073913425207,0.174270063638687,0.125,1,0.889,0,268
"66045","Risaralda","Dos - vertiente occidental",0.560454607009888,0.545340955257416,0.439545392990112,0.39075585436821,0.560454607009888,0.875,0,0,1,269
"66075","Risaralda","Dos - vertiente occidental",0.763661861419678,0.697746396064758,0.236338138580322,0.210104605197906,0.763661861419678,0.875,0,0,1,270
"66088","Risaralda","Dos - vertiente occidental",0.495342254638672,0.496506690979004,0.504657745361328,0.448640735626221,0.495342254638672,0.125,1,0.889,0,271
"66170","Risaralda","Uno - vertiente oriental",0.0593890734016895,0.169541805051267,0.94061092659831,0.836203113745898,0.0593890734016895,0.125,1,0.889,0,272
"66318","Risaralda","Dos - vertiente occidental",0.707353174686432,0.655514881014824,0.292646825313568,0.260163027703762,0.707353174686432,0.875,0,0,1,273
"66383","Risaralda","Dos - vertiente occidental",0.61658239364624,0.58743679523468,0.38341760635376,0.340858252048492,0.61658239364624,0.875,0,0,1,274
"66400","Risaralda","Uno - vertiente oriental",0.0262865740805864,0.14471493056044,0.973713425919414,0.865631235642359,0.0262865740805864,0.125,1,0.889,0,275
"66440","Risaralda","Uno - vertiente oriental",0.496989369392395,0.497742027044296,0.503010630607605,0.447176450610161,0.496989369392395,0.125,1,0.889,0,276
"66456","Risaralda","Tres - vertiente",0.770383477210999,0.702787607908249,0.229616522789001,0.204129088759422,0.770383477210999,0.875,0,0,1,277
"66572","Risaralda","Del pacifico",0.830403566360474,0.747802674770355,0.169596433639526,0.150771229505539,0.830403566360474,0.875,0,0,1,278
"66594","Risaralda","Dos - vertiente occidental",0.735856652259827,0.67689248919487,0.264143347740173,0.234823436141014,0.735856652259827,0.875,0,0,1,279
"66682","Risaralda","Uno - vertiente oriental",0.173963874578476,0.255472905933857,0.826036125421524,0.734346115499735,0.173963874578476,0.125,1,0.889,0,280
"66687","Risaralda","Dos - vertiente occidental",0.500315845012665,0.500236883759499,0.499684154987335,0.444219213783741,0.500315845012665,0.875,0,0,1,281
"68001","Santander","Soto",0.0178583096712828,0.138393732253462,0.982141690328717,0.87312396270223,0.0178583096712828,0.125,1,0.889,0,1061
"68013","Santander","Vélez",0.831266820430756,0.748450115323067,0.168733179569244,0.150003796637058,0.831266820430756,0.875,0,0,1,975
"68020","Santander","Vélez",0.85541296005249,0.766559720039368,0.14458703994751,0.128537878513336,0.85541296005249,0.875,0,0,1,976
"68051","Santander","Guanenta",0.710778951644897,0.658084213733673,0.289221048355103,0.257117511987686,0.710778951644897,0.875,0,0,1,977
"68077","Santander","Vélez",0.25123992562294,0.313429944217205,0.74876007437706,0.665647706121206,0.25123992562294,0.125,1,0.889,0,978
"68079","Santander","Guanenta",0.703127980232239,0.652345985174179,0.296872019767761,0.26391922557354,0.703127980232239,0.875,0,0,1,979
"68081","Santander","Mares",0.129042878746986,0.22178215906024,0.870957121253014,0.774280880793929,0.129042878746986,0.125,1,0.889,0,980
"68092","Santander","Mares",0.778993427753448,0.709245070815086,0.221006572246552,0.196474842727184,0.778993427753448,0.875,0,0,1,981
"68101","Santander","Vélez",0.867546737194061,0.775660052895546,0.132453262805939,0.11775095063448,0.867546737194061,0.875,0,0,1,1058
"68121","Santander","Guanenta",0.796076416969299,0.722057312726974,0.203923583030701,0.181288065314293,0.796076416969299,0.875,0,0,1,982
"68132","Santander","Soto",0.562910795211792,0.547183096408844,0.437089204788208,0.388572303056717,0.562910795211792,0.875,0,0,1,983
"68147","Santander","Garcia rovira",0.372933685779572,0.404700264334679,0.627066314220428,0.557461953341961,0.372933685779572,0.125,1,0.889,0,984
"68152","Santander","Garcia rovira",0.850885391235352,0.763164043426514,0.149114608764648,0.132562887191772,0.850885391235352,0.875,0,0,1,985
"68160","Santander","Garcia rovira",0.743424296379089,0.682568222284317,0.256575703620911,0.22809580051899,0.743424296379089,0.875,0,0,1,986
"68162","Santander","Garcia rovira",0.505275666713715,0.503956750035286,0.494724333286285,0.439809932291508,0.505275666713715,0.875,0,0,1,987
"68167","Santander","Guanenta",0.411735951900482,0.433801963925362,0.588264048099518,0.522966738760471,0.411735951900482,0.125,1,0.889,0,988
"68169","Santander","Soto",0.752077579498291,0.689058184623718,0.247922420501709,0.220403031826019,0.752077579498291,0.875,0,0,1,989
"68176","Santander","Comunera",0.718260884284973,0.66369566321373,0.281739115715027,0.250466073870659,0.718260884284973,0.875,0,0,1,990
"68179","Santander","Vélez",0.874482750892639,0.780862063169479,0.125517249107361,0.111584834456444,0.874482750892639,0.875,0,0,1,991
"68190","Santander","Vélez",0.576805174350739,0.557603880763054,0.423194825649261,0.376220200002193,0.576805174350739,0.875,0,0,1,992
"68207","Santander","Garcia rovira",0.515510618686676,0.511632964015007,0.484489381313324,0.430711059987545,0.515510618686676,0.875,0,0,1,993
"68209","Santander","Comunera",0.782526135444641,0.711894601583481,0.217473864555359,0.193334265589714,0.782526135444641,0.875,0,0,1,994
"68211","Santander","Comunera",0.23946724832058,0.304600436240435,0.76053275167942,0.676113616243005,0.23946724832058,0.125,1,0.889,0,1038
"68217","Santander","Guanenta",0.855832517147064,0.766874387860298,0.144167482852936,0.12816489225626,0.855832517147064,0.875,0,0,1,1039
"68229","Santander","Guanenta",0.640088081359863,0.605066061019897,0.359911918640137,0.319961695671082,0.640088081359863,0.875,0,0,1,1040
"68235","Santander","Mares",0.865127146244049,0.773845359683037,0.134872853755951,0.11990196698904,0.865127146244049,0.875,0,0,1,1041
"68245","Santander","Comunera",0.687586545944214,0.64068990945816,0.312413454055786,0.277735560655594,0.687586545944214,0.875,0,0,1,1042
"68250","Santander","Vélez",0.865125954151154,0.773844465613365,0.134874045848846,0.119903026759624,0.865125954151154,0.875,0,0,1,1059
"68255","Santander","Soto",0.486837297677994,0.490127973258495,0.513162702322006,0.456201642364264,0.486837297677994,0.125,1,0.889,0,1043
"68264","Santander","Guanenta",0.793887138366699,0.720415353775024,0.206112861633301,0.183234333992004,0.793887138366699,0.875,0,0,1,1044
"68266","Santander","Garcia rovira",0.754695177078247,0.691021382808685,0.245304822921753,0.218075987577438,0.754695177078247,0.875,0,0,1,1045
"68271","Santander","Vélez",0.781014025211334,0.710760518908501,0.218985974788666,0.194678531587124,0.781014025211334,0.875,0,0,1,1046
"68276","Santander","Soto",0.0407967530190945,0.155597564764321,0.959203246980906,0.852731686566025,0.0407967530190945,0.125,1,0.889,0,1057
"68296","Santander","Comunera",0.718641698360443,0.663981273770332,0.281358301639557,0.250127530157566,0.718641698360443,0.875,0,0,1,1047
"68298","Santander","Comunera",0.837602615356445,0.753201961517334,0.162397384643555,0.14437127494812,0.837602615356445,0.875,0,0,1,1048
"68307","Santander","Soto",0.120296999812126,0.215222749859095,0.879703000187874,0.78205596716702,0.120296999812126,0.125,1,0.889,0,1056
"68318","Santander","Garcia rovira",0.745098054409027,0.68382354080677,0.254901945590973,0.226607829630375,0.745098054409027,0.875,0,0,1,1049
"68320","Santander","Comunera",0.624695181846619,0.593521386384964,0.375304818153381,0.333645983338356,0.624695181846619,0.875,0,0,1,1050
"68322","Santander","Comunera",0.720000028610229,0.665000021457672,0.279999971389771,0.248919974565506,0.720000028610229,0.875,0,0,1,1051
"68324","Santander","Vélez",0.757210373878479,0.692907780408859,0.242789626121521,0.215839977622032,0.757210373878479,0.875,0,0,1,1052
"68327","Santander","Vélez",0.39949157834053,0.424618683755398,0.60050842165947,0.533851986855268,0.39949157834053,0.125,1,0.889,0,1053
"68344","Santander","Comunera",0.717783510684967,0.663337633013725,0.282216489315033,0.250890459001064,0.717783510684967,0.875,0,0,1,1054
"68368","Santander","Vélez",0.784859359264374,0.71364451944828,0.215140640735626,0.191260029613972,0.784859359264374,0.875,0,0,1,1055
"68370","Santander","Guanenta",0.92465752363205,0.818493142724037,0.0753424763679504,0.0669794614911079,0.92465752363205,0.875,0,0,1,1017
"68377","Santander","Vélez",0.726363360881805,0.669772520661354,0.273636639118195,0.243262972176075,0.726363360881805,0.875,0,0,1,1018
"68385","Santander","Vélez",0.693567037582397,0.645175278186798,0.306432962417603,0.272418903589249,0.693567037582397,0.875,0,0,1,1019
"68397","Santander","Vélez",0.847365260124207,0.760523945093155,0.152634739875793,0.13569228374958,0.847365260124207,0.875,0,0,1,1020
"68406","Santander","Soto",0.45662721991539,0.467470414936543,0.54337278008461,0.483058401495218,0.45662721991539,0.125,1,0.889,0,1021
"68418","Santander","Soto",0.883524715900421,0.787643536925316,0.116475284099579,0.103546527564526,0.883524715900421,0.875,0,0,1,1022
"68425","Santander","Garcia rovira",0.871027171611786,0.778270378708839,0.128972828388214,0.114656844437122,0.871027171611786,0.875,0,0,1,1023
"68432","Santander","Garcia rovira",0.136261641979218,0.227196231484413,0.863738358020782,0.767863400280476,0.136261641979218,0.125,1,0.889,0,1024
"68444","Santander","Soto",0.709606111049652,0.657204583287239,0.290393888950348,0.258160167276859,0.709606111049652,0.875,0,0,1,1025
"68464","Santander","Guanenta",0.607200503349304,0.580400377511978,0.392799496650696,0.349198752522469,0.607200503349304,0.875,0,0,1,1026
"68468","Santander","Garcia rovira",0.850132942199707,0.76259970664978,0.149867057800293,0.13323181438446,0.850132942199707,0.875,0,0,1,1027
"68498","Santander","Guanenta",0.857092380523682,0.767819285392761,0.142907619476318,0.127044873714447,0.857092380523682,0.875,0,0,1,1028
"68500","Santander","Comunera",0.556388914585114,0.542291685938835,0.443611085414886,0.394370254933834,0.556388914585114,0.875,0,0,1,1029
